Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^20.12.2021^,70.34,1.61,196735.0
TI ^20.12.2021^,70.18,1.77,350986.0
NE ^20.12.2021^,69.54,3.07,175894.0
ZH ^20.12.2021^,69.02,1.35,1553423.0
BL ^20.12.2021^,68.79,1.83,290969.0
VD ^20.12.2021^,68.58,1.13,814762.0
BE ^20.12.2021^,67.91,1.42,1043132.0
FR ^20.12.2021^,67.63,1.41,325496.0
GR ^20.12.2021^,67.59,2.34,200096.0
GE ^20.12.2021^,67.52,2.06,506343.0
SO ^20.12.2021^,67.37,1.62,277462.0
ZG ^20.12.2021^,67.33,1.17,128794.0
SH ^20.12.2021^,66.86,1.59,83107.0
CH ^20.12.2021^,66.84,1.71,8670300.0
AG ^20.12.2021^,66.14,1.58,694072.0
NW ^20.12.2021^,65.53,1.63,43520.0
LU ^20.12.2021^,65.48,2.03,416347.0
VS ^20.12.2021^,63.85,4.54,348503.0
UR ^20.12.2021^,63.68,1.22,36819.0
JU ^20.12.2021^,62.43,3.54,73709.0
GL ^20.12.2021^,61.31,1.51,40851.0
SG ^20.12.2021^,61.23,1.27,514504.0
TG ^20.12.2021^,60.43,1.98,282909.0
AR ^20.12.2021^,59.72,1.47,55309.0
OW ^20.12.2021^,58.99,2.99,38108.0
SZ ^20.12.2021^,58.42,1.47,162157.0
AI ^20.12.2021^,55.32,0.89,16293.0
all ^20.12.2021^,,,
neighboring_chfl ^20.12.2021^,,,
unknown ^20.12.2021^,,,
