Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^30.08.2021^,55.82,5.24,195844.0
BL ^30.08.2021^,55.59,4.92,289468.0
ZH ^30.08.2021^,55.55,5.11,1539275.0
TI ^30.08.2021^,55.32,4.63,351491.0
BE ^30.08.2021^,53.67,5.48,1039474.0
ZG ^30.08.2021^,53.57,6.25,127642.0
SH ^30.08.2021^,53.45,5.55,82348.0
SO ^30.08.2021^,52.36,4.74,275247.0
AG ^30.08.2021^,51.76,4.21,685845.0
CH ^30.08.2021^,51.66,6.04,8606033.0
GE ^30.08.2021^,51.51,6.42,504128.0
NE ^30.08.2021^,50.98,9.09,176496.0
GR ^30.08.2021^,50.41,6.56,199021.0
VD ^30.08.2021^,50.2,9.56,805098.0
LU ^30.08.2021^,49.04,5.63,413120.0
FR ^30.08.2021^,48.96,8.41,321783.0
VS ^30.08.2021^,48.64,8.43,345525.0
JU ^30.08.2021^,48.35,6.19,73584.0
NW ^30.08.2021^,46.64,5.56,43087.0
TG ^30.08.2021^,46.51,4.98,279547.0
SZ ^30.08.2021^,46.11,4.06,160480.0
UR ^30.08.2021^,46.1,5.9,36703.0
SG ^30.08.2021^,45.4,6.58,510734.0
AR ^30.08.2021^,44.77,5.1,55445.0
GL ^30.08.2021^,44.15,6.32,40590.0
OW ^30.08.2021^,43.52,4.49,37930.0
AI ^30.08.2021^,41.0,4.01,16128.0
all ^30.08.2021^,,,
neighboring_chfl ^30.08.2021^,,,
unknown ^30.08.2021^,,,
