Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
TI ^03.08.2021^,53.17,3.58,351491.0
BS ^03.08.2021^,52.94,4.97,195844.0
BL ^03.08.2021^,52.7,4.64,289468.0
ZH ^03.08.2021^,52.64,5.51,1539275.0
ZG ^03.08.2021^,50.92,5.14,127642.0
SH ^03.08.2021^,50.65,5.25,82348.0
BE ^03.08.2021^,50.26,5.39,1039474.0
SO ^03.08.2021^,49.73,4.02,275247.0
CH ^03.08.2021^,48.58,5.9,8606033.0
AG ^03.08.2021^,48.57,3.67,685845.0
GE ^03.08.2021^,48.24,6.38,504128.0
NE ^03.08.2021^,47.35,8.91,176496.0
GR ^03.08.2021^,47.34,5.86,199021.0
VD ^03.08.2021^,46.29,10.51,805098.0
LU ^03.08.2021^,45.63,5.23,413120.0
FR ^03.08.2021^,45.49,8.11,321783.0
VS ^03.08.2021^,45.28,8.26,345525.0
JU ^03.08.2021^,45.09,5.52,73584.0
UR ^03.08.2021^,44.54,3.88,36703.0
TG ^03.08.2021^,44.51,4.12,279547.0
SZ ^03.08.2021^,43.73,3.76,160480.0
SG ^03.08.2021^,42.89,5.98,510734.0
NW ^03.08.2021^,42.21,6.79,43087.0
AR ^03.08.2021^,42.19,5.15,55445.0
GL ^03.08.2021^,41.11,5.66,40590.0
OW ^03.08.2021^,40.67,4.25,37930.0
AI ^03.08.2021^,39.18,3.44,16128.0
all ^03.08.2021^,,,
neighboring_chfl ^03.08.2021^,,,
unknown ^03.08.2021^,,,
