Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
TI ^31.10.2021^,67.44,1.64,350986.0
BS ^31.10.2021^,67.38,2.12,196735.0
ZH ^31.10.2021^,66.34,1.4,1553423.0
BL ^31.10.2021^,65.92,2.14,290969.0
VD ^31.10.2021^,65.47,2.13,814762.0
ZG ^31.10.2021^,64.95,1.26,128794.0
FR ^31.10.2021^,64.74,1.75,325496.0
GR ^31.10.2021^,64.68,2.76,200096.0
BE ^31.10.2021^,64.5,2.27,1043132.0
SO ^31.10.2021^,64.32,1.9,277462.0
SH ^31.10.2021^,64.31,1.66,83107.0
GE ^31.10.2021^,64.15,3.04,506343.0
CH ^31.10.2021^,63.73,2.27,8670300.0
AG ^31.10.2021^,62.97,1.74,694072.0
NW ^31.10.2021^,62.63,2.02,43520.0
LU ^31.10.2021^,62.29,2.42,416347.0
NE ^31.10.2021^,61.23,9.07,175894.0
UR ^31.10.2021^,61.17,1.61,36819.0
VS ^31.10.2021^,60.99,5.37,348503.0
JU ^31.10.2021^,58.87,4.85,73709.0
SG ^31.10.2021^,58.11,1.62,514504.0
GL ^31.10.2021^,58.09,2.11,40851.0
TG ^31.10.2021^,57.48,2.16,282909.0
AR ^31.10.2021^,57.07,1.67,55309.0
SZ ^31.10.2021^,55.83,1.75,162157.0
OW ^31.10.2021^,55.23,4.58,38108.0
AI ^31.10.2021^,52.98,1.07,16293.0
all ^31.10.2021^,,,
neighboring_chfl ^31.10.2021^,,,
unknown ^31.10.2021^,,,
