Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
TI ^27.10.2021^,67.02,1.9,350986.0
BS ^27.10.2021^,66.88,2.42,196735.0
ZH ^27.10.2021^,65.99,1.6,1553423.0
BL ^27.10.2021^,65.53,2.39,290969.0
VD ^27.10.2021^,65.08,2.36,814762.0
ZG ^27.10.2021^,64.68,1.37,128794.0
FR ^27.10.2021^,64.29,2.01,325496.0
GR ^27.10.2021^,64.18,3.08,200096.0
SH ^27.10.2021^,64.13,1.74,83107.0
BE ^27.10.2021^,64.06,2.55,1043132.0
SO ^27.10.2021^,63.93,2.15,277462.0
GE ^27.10.2021^,63.75,3.27,506343.0
CH ^27.10.2021^,63.34,2.5,8670300.0
AG ^27.10.2021^,62.58,1.94,694072.0
NW ^27.10.2021^,62.39,2.13,43520.0
LU ^27.10.2021^,61.92,2.67,416347.0
UR ^27.10.2021^,60.92,1.74,36819.0
NE ^27.10.2021^,60.72,9.44,175894.0
VS ^27.10.2021^,60.65,5.58,348503.0
JU ^27.10.2021^,58.6,5.06,73709.0
GL ^27.10.2021^,57.84,2.28,40851.0
SG ^27.10.2021^,57.67,1.91,514504.0
TG ^27.10.2021^,57.15,2.33,282909.0
AR ^27.10.2021^,56.67,1.96,55309.0
SZ ^27.10.2021^,55.54,1.91,162157.0
OW ^27.10.2021^,55.14,4.65,38108.0
AI ^27.10.2021^,52.7,1.26,16293.0
all ^27.10.2021^,,,
neighboring_chfl ^27.10.2021^,,,
unknown ^27.10.2021^,,,
