date,verabreichte Dosen
2021-01-31,111198.0
2021-02-07,99729.0
2021-02-14,133429.0
2021-02-21,130137.0
2021-02-28,137610.0
2021-03-07,151127.0
2021-03-14,151326.0
2021-03-21,150540.0
2021-03-28,181131.0
2021-04-04,173742.0
2021-04-11,209537.0
2021-04-18,293579.0
2021-04-25,364546.0
2021-05-02,386319.0
2021-05-09,450021.0
2021-05-16,466951.0
2021-05-23,567411.0
2021-05-30,553961.0
2021-06-06,632574.0
2021-06-13,640793.0
2021-06-20,600619.0
2021-06-27,516262.0
2021-07-04,446892.0
2021-07-11,411701.0
2021-07-18,363499.0
2021-07-25,293617.0
2021-08-01,186839.0
2021-08-08,136141.0
2021-08-15,132702.0
2021-08-22,141925.0
2021-08-29,157797.0
2021-09-05,152124.0
