Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^26.09.2021^,59.99,7.16,195844.0
TI ^26.09.2021^,59.09,7.3,351491.0
BL ^26.09.2021^,58.76,6.95,289468.0
ZH ^26.09.2021^,57.93,8.12,1539275.0
ZG ^26.09.2021^,57.54,7.32,127642.0
BE ^26.09.2021^,56.98,6.84,1039474.0
AG ^26.09.2021^,56.51,6.36,685845.0
SH ^26.09.2021^,56.24,8.16,82348.0
SO ^26.09.2021^,55.8,8.27,275247.0
CH ^26.09.2021^,54.92,8.75,8606033.0
GR ^26.09.2021^,54.7,10.46,199021.0
GE ^26.09.2021^,54.54,9.59,504128.0
NE ^26.09.2021^,54.22,12.06,176496.0
LU ^26.09.2021^,54.06,8.47,413120.0
NW ^26.09.2021^,53.14,9.35,43087.0
FR ^26.09.2021^,52.71,11.82,321783.0
VD ^26.09.2021^,52.63,12.64,805098.0
VS ^26.09.2021^,51.85,10.74,345525.0
JU ^26.09.2021^,51.77,9.36,73584.0
TG ^26.09.2021^,49.78,8.15,279547.0
UR ^26.09.2021^,49.67,9.86,36703.0
SZ ^26.09.2021^,48.72,7.1,160480.0
SG ^26.09.2021^,47.74,9.69,510734.0
OW ^26.09.2021^,47.55,8.87,37930.0
AR ^26.09.2021^,47.45,8.75,55445.0
GL ^26.09.2021^,47.17,10.92,40590.0
AI ^26.09.2021^,43.94,8.53,16128.0
all ^26.09.2021^,,,
neighboring_chfl ^26.09.2021^,,,
unknown ^26.09.2021^,,,
