Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^15.11.2021^,68.57,1.67,196735.0
TI ^15.11.2021^,68.48,1.34,350986.0
ZH ^15.11.2021^,67.44,1.1,1553423.0
BL ^15.11.2021^,67.04,1.79,290969.0
VD ^15.11.2021^,66.87,1.46,814762.0
BE ^15.11.2021^,66.05,1.55,1043132.0
GR ^15.11.2021^,65.96,2.25,200096.0
FR ^15.11.2021^,65.94,1.38,325496.0
ZG ^15.11.2021^,65.79,1.21,128794.0
GE ^15.11.2021^,65.57,2.55,506343.0
SO ^15.11.2021^,65.49,1.6,277462.0
SH ^15.11.2021^,65.25,1.58,83107.0
CH ^15.11.2021^,64.96,1.84,8670300.0
AG ^15.11.2021^,64.1,1.53,694072.0
NW ^15.11.2021^,63.7,1.83,43520.0
LU ^15.11.2021^,63.63,2.0,416347.0
NE ^15.11.2021^,62.82,8.46,175894.0
UR ^15.11.2021^,62.36,1.27,36819.0
VS ^15.11.2021^,62.34,4.65,348503.0
JU ^15.11.2021^,59.99,4.62,73709.0
GL ^15.11.2021^,59.38,1.54,40851.0
SG ^15.11.2021^,59.01,1.31,514504.0
TG ^15.11.2021^,58.57,1.94,282909.0
AR ^15.11.2021^,58.18,1.43,55309.0
OW ^15.11.2021^,57.12,3.28,38108.0
SZ ^15.11.2021^,56.94,1.5,162157.0
AI ^15.11.2021^,53.75,0.93,16293.0
all ^15.11.2021^,,,
neighboring_chfl ^15.11.2021^,,,
unknown ^15.11.2021^,,,
