Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^09.01.2022^,71.09,1.64,196735.0
TI ^09.01.2022^,70.92,1.58,350986.0
NE ^09.01.2022^,70.14,3.02,175894.0
ZH ^09.01.2022^,69.69,1.33,1553423.0
BL ^09.01.2022^,69.5,2.0,290969.0
VD ^09.01.2022^,69.1,1.14,814762.0
BE ^09.01.2022^,68.63,1.44,1043132.0
GR ^09.01.2022^,68.46,2.04,200096.0
FR ^09.01.2022^,68.38,1.13,325496.0
SO ^09.01.2022^,68.15,1.55,277462.0
GE ^09.01.2022^,68.11,1.95,506343.0
ZG ^09.01.2022^,68.0,1.06,128794.0
SH ^09.01.2022^,67.61,1.65,83107.0
CH ^09.01.2022^,67.57,1.65,8670300.0
AG ^09.01.2022^,67.06,1.46,694072.0
NW ^09.01.2022^,66.52,1.42,43520.0
LU ^09.01.2022^,66.2,1.9,416347.0
OW ^09.01.2022^,66.04,4.13,38108.0
VS ^09.01.2022^,64.49,4.41,348503.0
UR ^09.01.2022^,64.1,1.19,36819.0
JU ^09.01.2022^,62.97,3.52,73709.0
GL ^09.01.2022^,62.06,1.37,40851.0
SG ^09.01.2022^,61.98,1.03,514504.0
TG ^09.01.2022^,61.03,2.1,282909.0
AR ^09.01.2022^,60.5,1.43,55309.0
SZ ^09.01.2022^,59.02,1.45,162157.0
AI ^09.01.2022^,56.01,0.87,16293.0
all ^09.01.2022^,,,
neighboring_chfl ^09.01.2022^,,,
unknown ^09.01.2022^,,,
