Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^15.12.2021^,70.12,1.67,196735.0
TI ^15.12.2021^,69.88,1.78,350986.0
NE ^15.12.2021^,69.48,3.09,175894.0
ZH ^15.12.2021^,68.84,1.34,1553423.0
BL ^15.12.2021^,68.49,1.8,290969.0
VD ^15.12.2021^,68.36,1.14,814762.0
BE ^15.12.2021^,67.68,1.39,1043132.0
FR ^15.12.2021^,67.39,1.44,325496.0
GR ^15.12.2021^,67.35,2.27,200096.0
GE ^15.12.2021^,67.27,2.16,506343.0
SO ^15.12.2021^,67.11,1.61,277462.0
ZG ^15.12.2021^,67.08,1.19,128794.0
SH ^15.12.2021^,66.74,1.55,83107.0
CH ^15.12.2021^,66.61,1.72,8670300.0
AG ^15.12.2021^,65.84,1.62,694072.0
NW ^15.12.2021^,65.34,1.68,43520.0
LU ^15.12.2021^,65.25,2.03,416347.0
VS ^15.12.2021^,63.67,4.54,348503.0
UR ^15.12.2021^,63.56,1.16,36819.0
JU ^15.12.2021^,62.26,3.47,73709.0
GL ^15.12.2021^,61.07,1.54,40851.0
SG ^15.12.2021^,60.94,1.36,514504.0
TG ^15.12.2021^,60.21,1.96,282909.0
AR ^15.12.2021^,59.52,1.39,55309.0
SZ ^15.12.2021^,58.2,1.44,162157.0
OW ^15.12.2021^,57.87,3.45,38108.0
AI ^15.12.2021^,55.12,0.87,16293.0
all ^15.12.2021^,,,
neighboring_chfl ^15.12.2021^,,,
unknown ^15.12.2021^,,,
