date,verabreichte Dosen
2021-01-31,111371.0
2021-02-07,99906.0
2021-02-14,133587.0
2021-02-21,130317.0
2021-02-28,137771.0
2021-03-07,151286.0
2021-03-14,151463.0
2021-03-21,150755.0
2021-03-28,181426.0
2021-04-04,174127.0
2021-04-11,209753.0
2021-04-18,293944.0
2021-04-25,365069.0
2021-05-02,386920.0
2021-05-09,450427.0
2021-05-16,467084.0
2021-05-23,568023.0
2021-05-30,554344.0
2021-06-06,632926.0
2021-06-13,641359.0
2021-06-20,600861.0
2021-06-27,517556.0
2021-07-04,447301.0
2021-07-11,412026.0
2021-07-18,363794.0
2021-07-25,293984.0
2021-08-01,187028.0
2021-08-08,136540.0
2021-08-15,133349.0
2021-08-22,142978.0
2021-08-29,159266.0
2021-09-05,155414.0
2021-09-12,191568.0
2021-09-19,219292.0
2021-09-26,193093.0
2021-10-03,163599.0
2021-10-10,162292.0
2021-10-17,167269.0
