Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^21.09.2021^,58.22,7.18,195844.0
TI ^21.09.2021^,57.97,6.5,351491.0
BL ^21.09.2021^,57.71,6.64,289468.0
ZH ^21.09.2021^,57.25,8.02,1539275.0
ZG ^21.09.2021^,56.23,7.66,127642.0
BE ^21.09.2021^,56.21,6.87,1039474.0
SH ^21.09.2021^,55.34,8.14,82348.0
SO ^21.09.2021^,54.84,7.85,275247.0
AG ^21.09.2021^,54.38,6.37,685845.0
GE ^21.09.2021^,54.05,8.81,504128.0
CH ^21.09.2021^,53.86,8.39,8606033.0
NE ^21.09.2021^,53.53,11.51,176496.0
GR ^21.09.2021^,52.75,10.2,199021.0
VD ^21.09.2021^,52.11,12.18,805098.0
LU ^21.09.2021^,51.83,7.0,413120.0
FR ^21.09.2021^,51.3,11.33,321783.0
JU ^21.09.2021^,51.13,9.06,73584.0
VS ^21.09.2021^,51.04,10.21,345525.0
TG ^21.09.2021^,48.42,8.09,279547.0
NW ^21.09.2021^,48.2,9.25,43087.0
SZ ^21.09.2021^,47.83,6.29,160480.0
UR ^21.09.2021^,47.79,8.99,36703.0
SG ^21.09.2021^,47.11,9.28,510734.0
GL ^21.09.2021^,46.44,9.58,40590.0
AR ^21.09.2021^,46.32,8.22,55445.0
OW ^21.09.2021^,44.18,6.16,37930.0
AI ^21.09.2021^,42.73,6.27,16128.0
all ^21.09.2021^,,,
neighboring_chfl ^21.09.2021^,,,
unknown ^21.09.2021^,,,
