Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^06.06.2022^,73.42,1.06,196735.0
TI ^06.06.2022^,72.38,1.11,350986.0
BL ^06.06.2022^,71.65,1.16,290969.0
NE ^06.06.2022^,71.35,2.66,175894.0
ZH ^06.06.2022^,71.15,0.67,1553423.0
BE ^06.06.2022^,70.52,0.76,1043132.0
VD ^06.06.2022^,70.37,0.77,814762.0
SO ^06.06.2022^,70.04,0.91,277462.0
GR ^06.06.2022^,69.83,1.51,200096.0
ZG ^06.06.2022^,69.53,0.74,128794.0
GE ^06.06.2022^,69.52,1.61,506343.0
FR ^06.06.2022^,69.38,0.86,325496.0
CH ^06.06.2022^,69.2,0.99,8670300.0
SH ^06.06.2022^,69.12,0.99,83107.0
AG ^06.06.2022^,68.89,0.73,694072.0
VS ^06.06.2022^,68.24,1.76,348503.0
LU ^06.06.2022^,67.8,1.42,416347.0
NW ^06.06.2022^,67.45,1.06,43520.0
UR ^06.06.2022^,65.29,0.7,36819.0
JU ^06.06.2022^,64.37,2.79,73709.0
GL ^06.06.2022^,63.53,0.67,40851.0
SG ^06.06.2022^,63.53,0.39,514504.0
TG ^06.06.2022^,62.61,1.48,282909.0
AR ^06.06.2022^,61.82,0.77,55309.0
OW ^06.06.2022^,61.38,2.24,38108.0
SZ ^06.06.2022^,60.45,0.88,162157.0
AI ^06.06.2022^,57.2,0.34,16293.0
all ^06.06.2022^,,,
neighboring_chfl ^06.06.2022^,,,
unknown ^06.06.2022^,,,
