Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^26.01.2022^,71.91,2.08,196735.0
TI ^26.01.2022^,71.49,1.63,350986.0
NE ^26.01.2022^,70.63,3.01,175894.0
ZH ^26.01.2022^,70.3,1.58,1553423.0
BL ^26.01.2022^,70.27,2.19,290969.0
VD ^26.01.2022^,69.58,1.07,814762.0
BE ^26.01.2022^,69.35,1.54,1043132.0
GR ^26.01.2022^,69.08,2.0,200096.0
SO ^26.01.2022^,68.87,1.75,277462.0
FR ^26.01.2022^,68.78,1.1,325496.0
GE ^26.01.2022^,68.6,2.07,506343.0
ZG ^26.01.2022^,68.43,1.44,128794.0
SH ^26.01.2022^,68.25,1.53,83107.0
CH ^26.01.2022^,68.2,1.73,8670300.0
AG ^26.01.2022^,67.76,1.52,694072.0
NW ^26.01.2022^,67.02,1.52,43520.0
LU ^26.01.2022^,66.84,2.1,416347.0
OW ^26.01.2022^,66.16,4.53,38108.0
VS ^26.01.2022^,65.23,4.22,348503.0
UR ^26.01.2022^,64.75,1.02,36819.0
JU ^26.01.2022^,63.77,3.16,73709.0
GL ^26.01.2022^,62.76,1.19,40851.0
SG ^26.01.2022^,62.73,0.91,514504.0
TG ^26.01.2022^,61.67,2.13,282909.0
AR ^26.01.2022^,61.14,1.22,55309.0
SZ ^26.01.2022^,59.63,1.44,162157.0
AI ^26.01.2022^,56.52,0.8,16293.0
all ^26.01.2022^,,,
neighboring_chfl ^26.01.2022^,,,
unknown ^26.01.2022^,,,
