Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^09.12.2021^,69.76,1.71,196735.0
TI ^09.12.2021^,69.52,1.77,350986.0
NE ^09.12.2021^,69.19,3.13,175894.0
ZH ^09.12.2021^,68.55,1.37,1553423.0
BL ^09.12.2021^,68.24,1.77,290969.0
VD ^09.12.2021^,68.07,1.16,814762.0
BE ^09.12.2021^,67.39,1.35,1043132.0
FR ^09.12.2021^,67.15,1.45,325496.0
GR ^09.12.2021^,67.03,2.21,200096.0
GE ^09.12.2021^,66.97,2.23,506343.0
ZG ^09.12.2021^,66.8,1.23,128794.0
SO ^09.12.2021^,66.76,1.6,277462.0
SH ^09.12.2021^,66.43,1.53,83107.0
CH ^09.12.2021^,66.3,1.73,8670300.0
AG ^09.12.2021^,65.48,1.62,694072.0
LU ^09.12.2021^,64.97,2.04,416347.0
NW ^09.12.2021^,64.88,1.61,43520.0
VS ^09.12.2021^,63.43,4.53,348503.0
UR ^09.12.2021^,63.11,1.2,36819.0
JU ^09.12.2021^,61.95,3.49,73709.0
GL ^09.12.2021^,60.83,1.42,40851.0
SG ^09.12.2021^,60.56,1.39,514504.0
TG ^09.12.2021^,59.85,2.05,282909.0
AR ^09.12.2021^,59.25,1.4,55309.0
SZ ^09.12.2021^,57.92,1.44,162157.0
OW ^09.12.2021^,57.79,3.46,38108.0
AI ^09.12.2021^,54.81,0.87,16293.0
all ^09.12.2021^,,,
neighboring_chfl ^09.12.2021^,,,
unknown ^09.12.2021^,,,
