Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
SH ^19.07.2021^,47.83,6.88,82348.0
ZH ^19.07.2021^,47.63,9.05,1539275.0
BL ^19.07.2021^,47.5,8.42,289468.0
SO ^19.07.2021^,47.39,5.21,275247.0
TI ^19.07.2021^,47.22,8.17,351491.0
BE ^19.07.2021^,47.11,6.77,1039474.0
BS ^19.07.2021^,46.75,9.2,195844.0
ZG ^19.07.2021^,46.09,8.36,127642.0
GE ^19.07.2021^,45.48,6.83,504128.0
AG ^19.07.2021^,45.11,5.59,685845.0
CH ^19.07.2021^,44.79,7.99,8606033.0
UR ^19.07.2021^,43.71,3.66,36703.0
NE ^19.07.2021^,43.56,10.63,176496.0
JU ^19.07.2021^,43.26,5.36,73584.0
TG ^19.07.2021^,43.16,4.3,279547.0
GR ^19.07.2021^,43.01,8.26,199021.0
VD ^19.07.2021^,42.79,11.77,805098.0
VS ^19.07.2021^,42.14,9.06,345525.0
SZ ^19.07.2021^,41.59,4.42,160480.0
LU ^19.07.2021^,41.45,7.88,413120.0
FR ^19.07.2021^,40.86,10.78,321783.0
SG ^19.07.2021^,40.62,7.32,510734.0
AR ^19.07.2021^,39.66,6.85,55445.0
GL ^19.07.2021^,39.01,7.42,40590.0
AI ^19.07.2021^,38.14,3.7,16128.0
NW ^19.07.2021^,37.8,9.2,43087.0
OW ^19.07.2021^,28.27,5.99,37930.0
all ^19.07.2021^,,,
neighboring_chfl ^19.07.2021^,,,
unknown ^19.07.2021^,,,
