Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
OW ^02.06.2021^,27.58,4.92,37930
BL ^02.06.2021^,27.3,12.29,289468
SH ^02.06.2021^,26.9,11.9,82348
TI ^02.06.2021^,26.63,13.81,351491
GE ^02.06.2021^,25.32,16.49,504128
UR ^02.06.2021^,24.37,14.36,36703
BE ^02.06.2021^,24.3,15.61,1039474
NE ^02.06.2021^,24.11,11.16,176496
GR ^02.06.2021^,23.68,12.47,199021
AI ^02.06.2021^,23.43,11.33,16128
BS ^02.06.2021^,23.38,19.38,195844
AG ^02.06.2021^,23.22,12.18,685845
SO ^02.06.2021^,22.93,13.63,275247
NW ^02.06.2021^,22.68,13.52,43087
VS ^02.06.2021^,22.29,13.17,345525
ZG ^02.06.2021^,22.19,15.7,127642
CH ^02.06.2021^,22.06,15.47,8606033
GL ^02.06.2021^,22.03,13.11,40590
LU ^02.06.2021^,21.51,15.66,413120
JU ^02.06.2021^,20.88,17.46,73584
AR ^02.06.2021^,20.58,15.58,55445
TG ^02.06.2021^,20.27,16.63,279547
VD ^02.06.2021^,20.25,18.91,805098
SG ^02.06.2021^,19.62,16.41,510734
SZ ^02.06.2021^,19.58,14.91,160480
ZH ^02.06.2021^,19.17,17.05,1539275
FR ^02.06.2021^,17.65,14.8,321783
