Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
SH ^16.05.2021^,18.920920969543886,12.245591878369845,82348
BL ^16.05.2021^,18.429670982630206,12.417262011690411,289468
UR ^16.05.2021^,18.069367626624526,11.86006593466474,36703
OW ^16.05.2021^,17.82230424466122,6.976008436593725,37930
NE ^16.05.2021^,17.709183210950957,9.894841809446106,176496
GR ^16.05.2021^,17.293652428638183,10.926485144783717,199021
GE ^16.05.2021^,16.85266440269138,15.263583851720197,504128
AR ^16.05.2021^,16.721074939128865,9.3480025250248,55445
ZG ^16.05.2021^,16.71863493207565,10.986195766283826,127642
TI ^16.05.2021^,16.649643945364176,16.507961797030365,351491
SO ^16.05.2021^,16.1396854461629,11.114380901517546,275247
NW ^16.05.2021^,16.13943880984984,11.321280200524521,43087
AG ^16.05.2021^,15.688092790645117,12.16965932535777,685845
SG ^16.05.2021^,15.587566130314409,11.186645102930292,510734
AI ^16.05.2021^,15.48859126984127,10.894097222222223,16128
BE ^16.05.2021^,15.018268855209463,16.512870932798705,1039474
VS ^16.05.2021^,14.64582881122929,11.864553939657045,345525
CH ^16.05.2021^,14.371627438565483,13.942800358771573,8606033
GL ^16.05.2021^,13.690564178369055,15.070214338507022,40590
TG ^16.05.2021^,13.659599280264143,12.73953932612405,279547
VD ^16.05.2021^,13.602691846210027,15.224606197009557,805098
JU ^16.05.2021^,13.504294411828658,12.96613394216134,73584
LU ^16.05.2021^,13.364639814097599,13.516653756777691,413120
BS ^16.05.2021^,13.296807663242172,19.30975674516452,195844
FR ^16.05.2021^,12.947234627062338,11.766003797590303,321783
SZ ^16.05.2021^,12.479436689930209,14.088983050847459,160480
ZH ^16.05.2021^,10.446801253837034,15.271280310535804,1539275
