date,verabreichte Dosen
2021-01-31,111351.0
2021-02-07,99824.0
2021-02-14,133530.0
2021-02-21,130256.0
2021-02-28,137688.0
2021-03-07,151249.0
2021-03-14,151388.0
2021-03-21,150682.0
2021-03-28,181345.0
2021-04-04,174024.0
2021-04-11,209692.0
2021-04-18,293900.0
2021-04-25,365022.0
2021-05-02,386849.0
2021-05-09,450194.0
2021-05-16,467067.0
2021-05-23,567990.0
2021-05-30,554307.0
2021-06-06,632870.0
2021-06-13,641150.0
2021-06-20,600767.0
2021-06-27,517438.0
2021-07-04,447170.0
2021-07-11,411952.0
2021-07-18,363705.0
2021-07-25,293852.0
2021-08-01,186949.0
2021-08-08,136397.0
2021-08-15,133190.0
2021-08-22,142639.0
2021-08-29,158693.0
2021-09-05,153932.0
2021-09-12,190014.0
2021-09-19,217161.0
2021-09-26,190213.0
