Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^06.03.2022^,73.17,1.15,196735.0
TI ^06.03.2022^,72.22,1.17,350986.0
BL ^06.03.2022^,71.5,1.21,290969.0
NE ^06.03.2022^,71.22,2.69,175894.0
ZH ^06.03.2022^,71.02,0.65,1553423.0
BE ^06.03.2022^,70.42,0.76,1043132.0
VD ^06.03.2022^,70.19,0.81,814762.0
SO ^06.03.2022^,69.9,0.95,277462.0
GR ^06.03.2022^,69.68,1.56,200096.0
GE ^06.03.2022^,69.33,1.65,506343.0
ZG ^06.03.2022^,69.33,0.79,128794.0
FR ^06.03.2022^,69.26,0.84,325496.0
CH ^06.03.2022^,69.07,1.03,8670300.0
SH ^06.03.2022^,68.99,1.04,83107.0
AG ^06.03.2022^,68.74,0.77,694072.0
VS ^06.03.2022^,68.07,1.83,348503.0
LU ^06.03.2022^,67.67,1.47,416347.0
NW ^06.03.2022^,67.52,1.17,43520.0
OW ^06.03.2022^,66.27,4.59,38108.0
UR ^06.03.2022^,65.18,0.71,36819.0
JU ^06.03.2022^,63.86,3.11,73709.0
SG ^06.03.2022^,63.38,0.44,514504.0
GL ^06.03.2022^,63.35,0.75,40851.0
TG ^06.03.2022^,62.46,1.53,282909.0
AR ^06.03.2022^,61.72,0.79,55309.0
SZ ^06.03.2022^,60.31,0.91,162157.0
AI ^06.03.2022^,57.13,0.32,16293.0
all ^06.03.2022^,,,
neighboring_chfl ^06.03.2022^,,,
unknown ^06.03.2022^,,,
