Altersklasse,Männer,Frauen,Total
0 - 9,8,8,16
10 - 19,51,95,146
20 - 29,273,234,507
30 - 39,171,187,358
40 - 49,187,152,339
50 - 59,233,209,442
60 - 69,126,109,235
70 - 79,64,44,108
80+,46,63,109
