BFS-Nummer;Ort;Wappen
4177;Sisseln;http://i.imgur.com/7RvTKOe.png
4179;Ueken;http://i.imgur.com/BVhtXoi.png
4181;Wittnau;http://i.imgur.com/MAHyAYx.png
4182;Wölflinswil;http://i.imgur.com/vV3lkT2.png
4183;Zeihen;http://i.imgur.com/DRqKcvq.png
4184;Mettauertal;http://i.imgur.com/gALhRfi.png
4185;Böztal;https://i.imgur.com/zKagqOg.png
4191;Ammerswil;http://i.imgur.com/afyGrTN.png
4192;Boniswil;http://i.imgur.com/uBIcVt3.png
4193;Brunegg;http://i.imgur.com/F3kukwZ.png
4194;Dintikon;http://i.imgur.com/lBAsq7b.png
4195;Egliswil;http://i.imgur.com/vN2vVQd.png
4196;Fahrwangen;http://i.imgur.com/zB6yFbf.png
4197;Hallwil;http://i.imgur.com/HtG409v.png
4198;Hendschiken;http://i.imgur.com/gWXFvm5.png
4199;Holderbank;http://i.imgur.com/qsnl5Dc.png
4200;Hunzenschwil;http://i.imgur.com/Vqj6WIx.png
4201;Lenzburg;http://i.imgur.com/hwKNDNt.png
4202;Meisterschwanden;http://i.imgur.com/5oMnSnx.png
4203;Möriken-Wildegg;http://i.imgur.com/0EUBHOL.png
4204;Niederlenz;http://i.imgur.com/8PjOy30.png
4205;Othmarsingen;http://i.imgur.com/534vMUa.png
4206;Rupperswil;http://i.imgur.com/Ltb4dWS.png
4207;Schafisheim;http://i.imgur.com/H3aMbia.png
4208;Seengen;http://i.imgur.com/5Sg16Rz.png
4209;Seon;http://i.imgur.com/cQJKG8S.png
4210;Staufen;http://i.imgur.com/GQ3xIgp.png
4221;Abtwil;http://i.imgur.com/quVNZ0U.png
4222;Aristau;http://i.imgur.com/PIvaWFS.png
4223;Auw;http://i.imgur.com/84retIE.png
4224;Beinwil (Freiamt);http://i.imgur.com/1n5fQC2.png
4226;Besenbüren;http://i.imgur.com/yiA3B1k.png
4227;Bettwil;http://i.imgur.com/OaApds5.png
4228;Boswil;http://i.imgur.com/sxNfHIM.png
4229;Bünzen;http://i.imgur.com/R25JhYh.png
4230;Buttwil;http://i.imgur.com/yppnIDt.png
4231;Dietwil;http://i.imgur.com/OzZ1nJd.png
4232;Geltwil;http://i.imgur.com/QsJLNJe.png
4233;Kallern;http://i.imgur.com/xKNEKBa.png
4234;Merenschwand;http://i.imgur.com/VUV5NO6.png
4235;Mühlau;http://i.imgur.com/RsXBeqQ.png
4236;Muri;http://i.imgur.com/djI91Qx.png
4237;Oberrüti;http://i.imgur.com/pRsDklD.png
4238;Rottenschwil;http://i.imgur.com/H1UEchi.png
4239;Sins;http://i.imgur.com/I3auIg0.png
4240;Waltenschwil;http://i.imgur.com/b4SUG3R.png
4251;Hellikon;http://i.imgur.com/J5RSMbU.png
4252;Kaiseraugst;http://i.imgur.com/rTZ61AE.png
4253;Magden;http://i.imgur.com/RjlsGjO.png
4254;Möhlin;http://i.imgur.com/dODOirk.png
4255;Mumpf;http://i.imgur.com/4FvMR7y.png
4256;Obermumpf;http://i.imgur.com/lZjt1pO.png
4257;Olsberg;http://i.imgur.com/vmb4c6O.png
4258;Rheinfelden;http://i.imgur.com/9BmdPBn.png
4259;Schupfart;http://i.imgur.com/eMTBgqS.png
4260;Stein;http://i.imgur.com/3moofQ2.png
4261;Wallbach;http://i.imgur.com/FNtG3ZP.png
4262;Wegenstetten;http://i.imgur.com/zXwaQpI.png
4263;Zeiningen;http://i.imgur.com/NDqPy8c.png
4264;Zuzgen;http://i.imgur.com/SNdgB4O.png
4271;Aarburg;http://i.imgur.com/6Voq865.png
4273;Bottenwil;http://i.imgur.com/LKmgR6E.png
4274;Brittnau;http://i.imgur.com/pYHLczb.png
4275;Kirchleerau;http://i.imgur.com/VUYTPz1.png
4276;Kölliken;http://i.imgur.com/82JAxdf.png
4277;Moosleerau;http://i.imgur.com/tY7Fvn4.png
4279;Murgenthal;http://i.imgur.com/vQIoXmy.png
4280;Oftringen;http://i.imgur.com/yKfDk3D.png
4281;Reitnau;http://i.imgur.com/yEt9ppb.png
4282;Rothrist;http://i.imgur.com/9SjdW5A.png
4283;Safenwil;http://i.imgur.com/f0W1g7a.png
4284;Staffelbach;http://i.imgur.com/3J4WNhu.png
4285;Strengelbach;http://i.imgur.com/zvfHrHe.png
4286;Uerkheim;http://i.imgur.com/Bkm3C1T.png
4287;Vordemwald;http://i.imgur.com/vl3uVMt.png
4288;Wiliberg;http://i.imgur.com/5dd7Hhd.png
4289;Zofingen;http://i.imgur.com/Qf7Qf0z.png
4303;Böttstein;http://i.imgur.com/qhbXZHO.png
4304;Döttingen;http://i.imgur.com/vlYGFfx.png
4305;Endingen;http://i.imgur.com/n2YkuRe.png
4306;Fisibach;http://i.imgur.com/yTT7fDF.png
4307;Full-Reuenthal;http://i.imgur.com/K5WG8LN.png
4309;Klingnau;http://i.imgur.com/VoJQHvN.png
4310;Koblenz;http://i.imgur.com/NUihGv5.png
4311;Leibstadt;http://i.imgur.com/nDEg55x.png
4312;Lengnau;http://i.imgur.com/jtVn2cE.png
4313;Leuggern;http://i.imgur.com/jwxM3DD.png
4314;Mellikon;http://i.imgur.com/nxzSlN6.png
4318;Schneisingen;http://i.imgur.com/VRUk88K.png
4319;Siglistorf;http://i.imgur.com/npW0y0w.png
4320;Tegerfelden;http://i.imgur.com/EVYOopQ.png
4324;Zurzach;https://i.imgur.com/LNTr6vQ.png
