Altersklasse,Männer,Frauen,Total
0 - 9,16,16,32
10 - 19,140,143,283
20 - 29,368,367,735
30 - 39,275,271,547
40 - 49,268,251,521
50 - 59,310,312,622
60 - 69,215,170,386
70 - 79,100,86,186
80+,83,86,169
