Altersklasse,Männer,Frauen,Total
0 - 9,15,14,29
10 - 19,145,200,345
20 - 29,469,436,905
30 - 39,335,280,615
40 - 49,277,266,543
50 - 59,357,322,679
60 - 69,231,231,462
70 - 79,129,108,237
80+,105,114,219
