,Stand: 08.02.2022,total,in Prozent
0,Unbekannt,69967,49.6
1,Familie,41240,29.2
2,Einreise Ausland,2443,1.7
3,Arbeitsplatz,5194,3.7
4,Schule,8008,5.7
5,Bekannte/Nachbarn,8412,6.0
6,Club/Bar,690,0.5
7,Veranstaltung privat,788,0.6
8,Heime,1600,1.1
9,Restaurant/Lokal,359,0.3
10,Veranstaltung öffentlich,212,0.2
11,Arzt/Spital,693,0.5
12,Geschäfte und Läden,1329,0.9
13,Militär/WK/Zivildienst,145,0.1
