,Stand: 03.08.2021,total,in Prozent
0,Unbekannt,21756,48.8
1,Familie,13821,31.0
2,Einreise Ausland,650,1.5
3,Arbeitsplatz,3759,8.4
4,Schule,805,1.8
5,Bekannte/Nachbarn,2066,4.6
6,Club/Bar,50,0.1
7,Veranstaltung privat,629,1.4
8,Heime,836,1.9
9,Restaurant/Lokal,25,0.1
10,Veranstaltung öffentlich,42,0.1
11,Arzt/Spital,75,0.2
12,Geschäfte und Läden,41,0.1
13,Militär/WK/Zivildienst,13,0.0
