,Stand: 25.01.2022,total,in Prozent
0,Unbekannt,52119,47.7
1,Familie,32879,30.1
2,Einreise Ausland,2326,2.1
3,Arbeitsplatz,5177,4.7
4,Schule,5650,5.2
5,Bekannte/Nachbarn,6480,5.9
6,Club/Bar,561,0.5
7,Veranstaltung privat,770,0.7
8,Heime,1391,1.3
9,Restaurant/Lokal,243,0.2
10,Veranstaltung öffentlich,189,0.2
11,Arzt/Spital,462,0.4
12,Geschäfte und Läden,887,0.8
13,Militär/WK/Zivildienst,83,0.1
