,Stand: 11.02.2022,total,in Prozent
0,Unbekannt,73434,49.9
1,Familie,42854,29.1
2,Einreise Ausland,2490,1.7
3,Arbeitsplatz,5198,3.5
4,Schule,8228,5.6
5,Bekannte/Nachbarn,8869,6.0
6,Club/Bar,752,0.5
7,Veranstaltung privat,792,0.5
8,Heime,1646,1.1
9,Restaurant/Lokal,390,0.3
10,Veranstaltung öffentlich,225,0.2
11,Arzt/Spital,735,0.5
12,Geschäfte und Läden,1427,1.0
13,Militär/WK/Zivildienst,0,0.0
