,Stand: 28.07.2021,total,in Prozent
0,Unbekannt,21639,48.9
1,Familie,13734,31.1
2,Einreise Ausland,550,1.2
3,Arbeitsplatz,3745,8.5
4,Schule,800,1.8
5,Bekannte/Nachbarn,2060,4.7
6,Club/Bar,44,0.1
7,Veranstaltung privat,627,1.4
8,Heime,836,1.9
9,Restaurant/Lokal,24,0.1
10,Veranstaltung öffentlich,33,0.1
11,Arzt/Spital,74,0.2
12,Geschäfte und Läden,40,0.1
13,Militär/WK/Zivildienst,13,0.0
