,Stand: 01.02.2022,total,in Prozent
0,Unbekannt,61218,48.8
1,Familie,36905,29.4
2,Einreise Ausland,2379,1.9
3,Arbeitsplatz,5191,4.1
4,Schule,7132,5.7
5,Bekannte/Nachbarn,7400,5.9
6,Club/Bar,613,0.5
7,Veranstaltung privat,778,0.6
8,Heime,1496,1.2
9,Restaurant/Lokal,293,0.2
10,Veranstaltung öffentlich,207,0.2
11,Arzt/Spital,574,0.5
12,Geschäfte und Läden,1097,0.9
13,Militär/WK/Zivildienst,110,0.1
