,Stand: 14.02.2022,total,in Prozent
0,Unbekannt,75707,50.1
1,Familie,43930,29.1
2,Einreise Ausland,2510,1.7
3,Arbeitsplatz,5203,3.4
4,Schule,8318,5.5
5,Bekannte/Nachbarn,9163,6.1
6,Club/Bar,788,0.5
7,Veranstaltung privat,799,0.5
8,Heime,1685,1.1
9,Restaurant/Lokal,411,0.3
10,Veranstaltung öffentlich,230,0.2
11,Arzt/Spital,772,0.5
12,Geschäfte und Läden,1467,1.0
13,Militär/WK/Zivildienst,176,0.1
