,Stand: 27.07.2021,total,in Prozent
0,Unbekannt,21617,48.9
1,Familie,13723,31.1
2,Einreise Ausland,536,1.2
3,Arbeitsplatz,3742,8.5
4,Schule,799,1.8
5,Bekannte/Nachbarn,2060,4.7
6,Club/Bar,43,0.1
7,Veranstaltung privat,626,1.4
8,Heime,836,1.9
9,Restaurant/Lokal,24,0.1
10,Veranstaltung öffentlich,33,0.1
11,Arzt/Spital,74,0.2
12,Geschäfte und Läden,40,0.1
13,Militär/WK/Zivildienst,13,0.0
