,Stand: 19.02.2021,total,in Prozent
0,Unbekannt,16169,50.9
1,Familie,8910,28.0
2,Einreise Ausland,371,1.2
3,Arbeitsplatz,2858,9.0
4,Schule,342,1.1
5,Bekannte/Nachbarn,1656,5.2
6,Club/Bar,30,0.1
7,Veranstaltung privat,597,1.9
8,Heime,773,2.4
9,Restaurant/Lokal,15,0.0
10,Veranstaltung öffentlich,16,0.1
11,Arzt/Spital,33,0.1
12,Geschäfte und Läden,10,0.0
13,Militär/WK/Zivildienst,4,0.0
