,Stand: 25.03.2021,total,in Prozent
0,Unbekannt,17630,50.1
1,Familie,10203,29.0
2,Einreise Ausland,396,1.1
3,Arbeitsplatz,3138,8.9
4,Schule,518,1.5
5,Bekannte/Nachbarn,1773,5.0
6,Club/Bar,31,0.1
7,Veranstaltung privat,604,1.7
8,Heime,789,2.2
9,Restaurant/Lokal,20,0.1
10,Veranstaltung öffentlich,16,0.0
11,Arzt/Spital,58,0.2
12,Geschäfte und Läden,16,0.0
13,Militär/WK/Zivildienst,5,0.0
