,Stand: 29.07.2021,total,in Prozent
0,Unbekannt,21662,48.9
1,Familie,13740,31.0
2,Einreise Ausland,562,1.3
3,Arbeitsplatz,3747,8.5
4,Schule,800,1.8
5,Bekannte/Nachbarn,2060,4.7
6,Club/Bar,44,0.1
7,Veranstaltung privat,628,1.4
8,Heime,836,1.9
9,Restaurant/Lokal,24,0.1
10,Veranstaltung öffentlich,33,0.1
11,Arzt/Spital,75,0.2
12,Geschäfte und Läden,40,0.1
13,Militär/WK/Zivildienst,13,0.0
