,Stand: 28.09.2021,total,in Prozent
0,Unbekannt,25454,47.0
1,Familie,16625,30.7
2,Einreise Ausland,1795,3.3
3,Arbeitsplatz,4181,7.7
4,Schule,1828,3.4
5,Bekannte/Nachbarn,2345,4.3
6,Club/Bar,100,0.2
7,Veranstaltung privat,658,1.2
8,Heime,854,1.6
9,Restaurant/Lokal,43,0.1
10,Veranstaltung öffentlich,76,0.1
11,Arzt/Spital,103,0.2
12,Geschäfte und Läden,66,0.1
13,Militär/WK/Zivildienst,21,0.0
