,Stand: 26.11.2021,total,in Prozent
0,Unbekannt,28715,46.2
1,Familie,19278,31.0
2,Einreise Ausland,1942,3.1
3,Arbeitsplatz,4642,7.5
4,Schule,2663,4.3
5,Bekannte/Nachbarn,2638,4.2
6,Club/Bar,146,0.2
7,Veranstaltung privat,697,1.1
8,Heime,967,1.6
9,Restaurant/Lokal,59,0.1
10,Veranstaltung öffentlich,104,0.2
11,Arzt/Spital,133,0.2
12,Geschäfte und Läden,119,0.2
13,Militär/WK/Zivildienst,26,0.0
