,Stand: 27.12.2020,total,in Prozent
0,Unbekannt,12079,52.8
1,Familie,6345,27.7
2,Einreise Ausland,336,1.5
3,Arbeitsplatz,2006,8.8
4,Schule,147,0.6
5,Bekannte/Nachbarn,1102,4.8
6,Club/Bar,30,0.1
7,Veranstaltung privat,535,2.3
8,Heime,254,1.1
9,Restaurant/Lokal,15,0.1
10,Veranstaltung öffentlich,10,0.0
11,Arzt/Spital,21,0.1
12,Geschäfte und Läden,6,0.0
13,Militär/WK/Zivildienst,4,0.0
