,Stand: 04.11.2021,total,in Prozent
0,Unbekannt,26713,47.0
1,Familie,17461,30.7
2,Einreise Ausland,1896,3.3
3,Arbeitsplatz,4326,7.6
4,Schule,2009,3.5
5,Bekannte/Nachbarn,2450,4.3
6,Club/Bar,113,0.2
7,Veranstaltung privat,677,1.2
8,Heime,869,1.5
9,Restaurant/Lokal,49,0.1
10,Veranstaltung öffentlich,86,0.2
11,Arzt/Spital,115,0.2
12,Geschäfte und Läden,83,0.1
13,Militär/WK/Zivildienst,24,0.0
