,Stand: 05.08.2021,total,in Prozent
0,Unbekannt,21812,48.8
1,Familie,13858,31.0
2,Einreise Ausland,701,1.6
3,Arbeitsplatz,3762,8.4
4,Schule,806,1.8
5,Bekannte/Nachbarn,2068,4.6
6,Club/Bar,50,0.1
7,Veranstaltung privat,630,1.4
8,Heime,836,1.9
9,Restaurant/Lokal,25,0.1
10,Veranstaltung öffentlich,45,0.1
11,Arzt/Spital,75,0.2
12,Geschäfte und Läden,41,0.1
13,Militär/WK/Zivildienst,14,0.0
