,Stand: 01.12.2021,total,in Prozent
0,Unbekannt,29246,46.0
1,Familie,19771,31.1
2,Einreise Ausland,1954,3.1
3,Arbeitsplatz,4718,7.4
4,Schule,2854,4.5
5,Bekannte/Nachbarn,2729,4.3
6,Club/Bar,152,0.2
7,Veranstaltung privat,697,1.1
8,Heime,1003,1.6
9,Restaurant/Lokal,62,0.1
10,Veranstaltung öffentlich,108,0.2
11,Arzt/Spital,142,0.2
12,Geschäfte und Läden,131,0.2
13,Militär/WK/Zivildienst,28,0.0
