,Stand: 01.09.2021,total,in Prozent
0,Unbekannt,23509,47.6
1,Familie,15105,30.6
2,Einreise Ausland,1610,3.3
3,Arbeitsplatz,3953,8.0
4,Schule,1176,2.4
5,Bekannte/Nachbarn,2187,4.4
6,Club/Bar,85,0.2
7,Veranstaltung privat,639,1.3
8,Heime,849,1.7
9,Restaurant/Lokal,34,0.1
10,Veranstaltung öffentlich,60,0.1
11,Arzt/Spital,87,0.2
12,Geschäfte und Läden,60,0.1
13,Militär/WK/Zivildienst,18,0.0
