,Stand: 22.09.2021,total,in Prozent
0,Unbekannt,25208,47.1
1,Familie,16431,30.7
2,Einreise Ausland,1775,3.3
3,Arbeitsplatz,4149,7.7
4,Schule,1780,3.3
5,Bekannte/Nachbarn,2323,4.3
6,Club/Bar,98,0.2
7,Veranstaltung privat,654,1.2
8,Heime,854,1.6
9,Restaurant/Lokal,43,0.1
10,Veranstaltung öffentlich,71,0.1
11,Arzt/Spital,96,0.2
12,Geschäfte und Läden,64,0.1
13,Militär/WK/Zivildienst,21,0.0
