,Stand: 25.02.2022,total,in Prozent
0,Unbekannt,83410,49.9
1,Familie,48026,28.7
2,Einreise Ausland,2670,1.6
3,Arbeitsplatz,6280,3.8
4,Schule,9027,5.4
5,Bekannte/Nachbarn,10590,6.3
6,Club/Bar,962,0.6
7,Veranstaltung privat,835,0.5
8,Heime,1740,1.0
9,Restaurant/Lokal,514,0.3
10,Veranstaltung öffentlich,263,0.2
11,Arzt/Spital,839,0.5
12,Geschäfte und Läden,1736,1.0
13,Militär/WK/Zivildienst,213,0.1
