,Stand: 30.12.2020,total,in Prozent
0,Unbekannt,12220,52.6
1,Familie,6429,27.7
2,Einreise Ausland,338,1.5
3,Arbeitsplatz,2084,9.0
4,Schule,149,0.6
5,Bekannte/Nachbarn,1115,4.8
6,Club/Bar,30,0.1
7,Veranstaltung privat,545,2.3
8,Heime,261,1.1
9,Restaurant/Lokal,15,0.1
10,Veranstaltung öffentlich,11,0.0
11,Arzt/Spital,23,0.1
12,Geschäfte und Läden,6,0.0
13,Militär/WK/Zivildienst,4,0.0
