,Stand: 02.03.2022,total,in Prozent
0,Unbekannt,86633,49.7
1,Familie,49824,28.6
2,Einreise Ausland,2718,1.6
3,Arbeitsplatz,6922,4.0
4,Schule,9563,5.5
5,Bekannte/Nachbarn,11203,6.4
6,Club/Bar,1070,0.6
7,Veranstaltung privat,875,0.5
8,Heime,1782,1.0
9,Restaurant/Lokal,554,0.3
10,Veranstaltung öffentlich,329,0.2
11,Arzt/Spital,859,0.5
12,Geschäfte und Läden,1856,1.1
13,Militär/WK/Zivildienst,242,0.1
