,Stand: 29.10.2021,total,in Prozent
0,Unbekannt,26381,47.0
1,Familie,17227,30.7
2,Einreise Ausland,1877,3.3
3,Arbeitsplatz,4290,7.6
4,Schule,1942,3.5
5,Bekannte/Nachbarn,2422,4.3
6,Club/Bar,112,0.2
7,Veranstaltung privat,672,1.2
8,Heime,865,1.5
9,Restaurant/Lokal,47,0.1
10,Veranstaltung öffentlich,84,0.1
11,Arzt/Spital,114,0.2
12,Geschäfte und Läden,80,0.1
13,Militär/WK/Zivildienst,23,0.0
