,Stand: 17.08.2021,total,in Prozent
0,Unbekannt,22437,48.2
1,Familie,14261,30.7
2,Einreise Ausland,1288,2.8
3,Arbeitsplatz,3810,8.2
4,Schule,847,1.8
5,Bekannte/Nachbarn,2099,4.5
6,Club/Bar,74,0.2
7,Veranstaltung privat,630,1.4
8,Heime,843,1.8
9,Restaurant/Lokal,30,0.1
10,Veranstaltung öffentlich,53,0.1
11,Arzt/Spital,79,0.2
12,Geschäfte und Läden,52,0.1
13,Militär/WK/Zivildienst,16,0.0
