,Stand: 22.02.2022,total,in Prozent
0,Unbekannt,80980,50.0
1,Familie,46832,28.9
2,Einreise Ausland,2626,1.6
3,Arbeitsplatz,5925,3.7
4,Schule,8751,5.4
5,Bekannte/Nachbarn,10141,6.3
6,Club/Bar,870,0.5
7,Veranstaltung privat,812,0.5
8,Heime,1729,1.1
9,Restaurant/Lokal,476,0.3
10,Veranstaltung öffentlich,243,0.1
11,Arzt/Spital,827,0.5
12,Geschäfte und Läden,1656,1.0
13,Militär/WK/Zivildienst,199,0.1
