,Stand: 09.11.2020,total,in Prozent
0,Unbekannt,4106,58.6
1,Familie,1603,22.9
2,Einreise Ausland,275,3.9
3,Arbeitsplatz,370,5.3
4,Schule,91,1.3
5,Bekannte/Nachbarn,195,2.8
6,Club/Bar,30,0.4
7,Veranstaltung privat,190,2.7
8,Heime,110,1.6
9,Restaurant/Lokal,13,0.2
10,Veranstaltung öffentlich,9,0.1
11,Arzt/Spital,4,0.1
12,Geschäfte und Läden,3,0.0
13,Militär/WK/Zivildienst,3,0.0
