,Stand: 30.11.2021,total,in Prozent
0,Unbekannt,29103,46.1
1,Familie,19626,31.1
2,Einreise Ausland,1951,3.1
3,Arbeitsplatz,4704,7.4
4,Schule,2813,4.5
5,Bekannte/Nachbarn,2703,4.3
6,Club/Bar,149,0.2
7,Veranstaltung privat,697,1.1
8,Heime,986,1.6
9,Restaurant/Lokal,61,0.1
10,Veranstaltung öffentlich,107,0.2
11,Arzt/Spital,138,0.2
12,Geschäfte und Läden,126,0.2
13,Militär/WK/Zivildienst,26,0.0
