,Stand: 24.08.2021,total,in Prozent
0,Unbekannt,22934,47.9
1,Familie,14606,30.5
2,Einreise Ausland,1474,3.1
3,Arbeitsplatz,3885,8.1
4,Schule,989,2.1
5,Bekannte/Nachbarn,2137,4.5
6,Club/Bar,80,0.2
7,Veranstaltung privat,635,1.3
8,Heime,847,1.8
9,Restaurant/Lokal,33,0.1
10,Veranstaltung öffentlich,55,0.1
11,Arzt/Spital,83,0.2
12,Geschäfte und Läden,57,0.1
13,Militär/WK/Zivildienst,17,0.0
