,Stand: 13.01.2022,total,in Prozent
0,Unbekannt,41263,46.2
1,Familie,27664,31.0
2,Einreise Ausland,2212,2.5
3,Arbeitsplatz,5150,5.8
4,Schule,4206,4.7
5,Bekannte/Nachbarn,5098,5.7
6,Club/Bar,471,0.5
7,Veranstaltung privat,744,0.8
8,Heime,1256,1.4
9,Restaurant/Lokal,175,0.2
10,Veranstaltung öffentlich,161,0.2
11,Arzt/Spital,311,0.3
12,Geschäfte und Läden,609,0.7
13,Militär/WK/Zivildienst,55,0.1
