,Stand: 06.04.2021,total,in Prozent
0,Unbekannt,18309,49.8
1,Familie,10831,29.4
2,Einreise Ausland,408,1.1
3,Arbeitsplatz,3246,8.8
4,Schule,620,1.7
5,Bekannte/Nachbarn,1820,4.9
6,Club/Bar,31,0.1
7,Veranstaltung privat,608,1.7
8,Heime,790,2.1
9,Restaurant/Lokal,20,0.1
10,Veranstaltung öffentlich,16,0.0
11,Arzt/Spital,58,0.2
12,Geschäfte und Läden,21,0.1
13,Militär/WK/Zivildienst,6,0.0
