,Stand: 26.12.2020,total,in Prozent
0,Unbekannt,12024,53.3
1,Familie,6233,27.6
2,Einreise Ausland,335,1.5
3,Arbeitsplatz,1945,8.6
4,Schule,147,0.7
5,Bekannte/Nachbarn,1001,4.4
6,Club/Bar,30,0.1
7,Veranstaltung privat,527,2.3
8,Heime,250,1.1
9,Restaurant/Lokal,15,0.1
10,Veranstaltung öffentlich,10,0.0
11,Arzt/Spital,20,0.1
12,Geschäfte und Läden,6,0.0
13,Militär/WK/Zivildienst,4,0.0
