,Stand: 12.08.2021,total,in Prozent
0,Unbekannt,22128,48.5
1,Familie,14055,30.8
2,Einreise Ausland,1026,2.2
3,Arbeitsplatz,3791,8.3
4,Schule,810,1.8
5,Bekannte/Nachbarn,2082,4.6
6,Club/Bar,66,0.1
7,Veranstaltung privat,630,1.4
8,Heime,841,1.8
9,Restaurant/Lokal,29,0.1
10,Veranstaltung öffentlich,49,0.1
11,Arzt/Spital,78,0.2
12,Geschäfte und Läden,47,0.1
13,Militär/WK/Zivildienst,15,0.0
