,Stand: 31.12.2021,total,in Prozent
0,Unbekannt,34333,45.6
1,Familie,23641,31.4
2,Einreise Ausland,2003,2.7
3,Arbeitsplatz,5079,6.7
4,Schule,4046,5.4
5,Bekannte/Nachbarn,3371,4.5
6,Club/Bar,202,0.3
7,Veranstaltung privat,716,1.0
8,Heime,1162,1.5
9,Restaurant/Lokal,99,0.1
10,Veranstaltung öffentlich,124,0.2
11,Arzt/Spital,224,0.3
12,Geschäfte und Läden,251,0.3
13,Militär/WK/Zivildienst,44,0.1
