,Stand: 05.04.2021,total,in Prozent
0,Unbekannt,18229,49.8
1,Familie,10749,29.4
2,Einreise Ausland,408,1.1
3,Arbeitsplatz,3239,8.8
4,Schule,614,1.7
5,Bekannte/Nachbarn,1816,5.0
6,Club/Bar,31,0.1
7,Veranstaltung privat,608,1.7
8,Heime,790,2.2
9,Restaurant/Lokal,20,0.1
10,Veranstaltung öffentlich,16,0.0
11,Arzt/Spital,58,0.2
12,Geschäfte und Läden,21,0.1
13,Militär/WK/Zivildienst,5,0.0
