,Stand: 06.12.2021,total,in Prozent
0,Unbekannt,29664,45.8
1,Familie,20188,31.2
2,Einreise Ausland,1960,3.0
3,Arbeitsplatz,4780,7.4
4,Schule,2973,4.6
5,Bekannte/Nachbarn,2801,4.3
6,Club/Bar,156,0.2
7,Veranstaltung privat,700,1.1
8,Heime,1043,1.6
9,Restaurant/Lokal,64,0.1
10,Veranstaltung öffentlich,111,0.2
11,Arzt/Spital,147,0.2
12,Geschäfte und Läden,134,0.2
13,Militär/WK/Zivildienst,35,0.1
