,Stand: 14.12.2021,total,in Prozent
0,Unbekannt,30174,45.5
1,Familie,20840,31.4
2,Einreise Ausland,1967,3.0
3,Arbeitsplatz,4873,7.3
4,Schule,3143,4.7
5,Bekannte/Nachbarn,2873,4.3
6,Club/Bar,163,0.2
7,Veranstaltung privat,703,1.1
8,Heime,1084,1.6
9,Restaurant/Lokal,68,0.1
10,Veranstaltung öffentlich,113,0.2
11,Arzt/Spital,164,0.2
12,Geschäfte und Läden,142,0.2
13,Militär/WK/Zivildienst,36,0.1
