,Stand: 30.03.2021,total,in Prozent
0,Unbekannt,17928,49.9
1,Familie,10470,29.2
2,Einreise Ausland,404,1.1
3,Arbeitsplatz,3187,8.9
4,Schule,571,1.6
5,Bekannte/Nachbarn,1789,5.0
6,Club/Bar,31,0.1
7,Veranstaltung privat,608,1.7
8,Heime,789,2.2
9,Restaurant/Lokal,20,0.1
10,Veranstaltung öffentlich,16,0.0
11,Arzt/Spital,58,0.2
12,Geschäfte und Läden,19,0.1
13,Militär/WK/Zivildienst,5,0.0
