,Stand: 08.02.2021,total,in Prozent
0,Unbekannt,15790,51.0
1,Familie,8653,27.9
2,Einreise Ausland,365,1.2
3,Arbeitsplatz,2795,9.0
4,Schule,321,1.0
5,Bekannte/Nachbarn,1620,5.2
6,Club/Bar,30,0.1
7,Veranstaltung privat,594,1.9
8,Heime,736,2.4
9,Restaurant/Lokal,15,0.0
10,Veranstaltung öffentlich,16,0.1
11,Arzt/Spital,29,0.1
12,Geschäfte und Läden,10,0.0
13,Militär/WK/Zivildienst,4,0.0
