Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:il: Israel ^02.02.2021^,58.83,"Moderna, Pfizer/BioNTech"
:ae: Vereinigte Arabische Emirate ^01.02.2021^,34.79,"Pfizer/BioNTech, Sinopharm"
:sc: Seychellen ^29.01.2021^,31.38,"Oxford/AstraZeneca, Sinopharm"
:gb: Vereinigtes Königreich ^01.02.2021^,14.94,"Oxford/AstraZeneca, Pfizer/BioNTech"
:bh: Bahrain ^02.02.2021^,10.23,"Pfizer/BioNTech, Sinopharm"
:us: Vereinigte Staaten ^02.02.2021^,9.8,"Moderna, Pfizer/BioNTech"
:rs: Serbien ^02.02.2021^,7.29,"Pfizer/BioNTech, Sinopharm, Sputnik V"
:mt: Malta ^02.02.2021^,6.57,Pfizer/BioNTech
:mc: Monaco ^18.01.2021^,6.12,Pfizer/BioNTech
:dk: Dänemark ^01.02.2021^,4.88,"Moderna, Pfizer/BioNTech"
:is: Island ^27.01.2021^,4.55,"Moderna, Pfizer/BioNTech"
:ie: Irland ^31.01.2021^,4.05,Pfizer/BioNTech
:ro: Rumänien ^02.02.2021^,3.89,Pfizer/BioNTech
:si: Slowenien ^01.02.2021^,3.7,Pfizer/BioNTech
:lt: Litauen ^02.02.2021^,3.65,"Moderna, Pfizer/BioNTech"
:ch: Schweiz ^31.01.2021^,3.64,"Moderna, Pfizer/BioNTech"
:es: Spanien ^01.02.2021^,3.58,"Moderna, Pfizer/BioNTech"
:it: Italien ^02.02.2021^,3.51,"Moderna, Pfizer/BioNTech"
:pt: Portugal ^01.02.2021^,3.32,Pfizer/BioNTech
:pl: Polen ^01.02.2021^,3.25,Pfizer/BioNTech
:hu: Ungarn ^01.02.2021^,3.23,Pfizer/BioNTech
:de: Deutschland ^01.02.2021^,3.09,"Moderna, Pfizer/BioNTech"
:gr: Griechenland ^02.02.2021^,3.03,Pfizer/BioNTech
:ee: Estland ^02.02.2021^,3.03,Pfizer/BioNTech
:fi: Finnland ^02.02.2021^,2.96,Pfizer/BioNTech
:cy: Zypern ^29.01.2021^,2.87,Pfizer/BioNTech
:sk: Slowakei ^01.02.2021^,2.84,Pfizer/BioNTech
:se: Schweden ^02.02.2021^,2.82,Pfizer/BioNTech
:cz: Tschechien ^02.02.2021^,2.75,"Moderna, Pfizer/BioNTech"
:sg: Singapur ^31.01.2021^,2.65,Pfizer/BioNTech
:be: Belgien ^01.02.2021^,2.65,"Moderna, Pfizer/BioNTech"
:tr: Türkei ^02.02.2021^,2.64,Sinovac
:ca: Kanada ^02.02.2021^,2.61,"Moderna, Pfizer/BioNTech"
:fr: Frankreich ^01.02.2021^,2.37,Pfizer/BioNTech
:at: Österreich ^02.02.2021^,2.32,Pfizer/BioNTech
:no: Norwegen ^01.02.2021^,2.32,Pfizer/BioNTech
:lu: Luxemburg ^01.02.2021^,2.12,Pfizer/BioNTech
:hr: Kroatien ^01.02.2021^,2.04,Pfizer/BioNTech
:cn: Volksrepublik China ^31.01.2021^,1.67,"CNBG, Sinovac"
:nl: Niederlande ^02.02.2021^,1.62,"Moderna, Pfizer/BioNTech"
:lv: Lettland ^02.02.2021^,1.42,Pfizer/BioNTech
:ad: Andorra ^01.02.2021^,1.34,Pfizer/BioNTech
:sa: Saudi-Arabien ^01.02.2021^,1.27,Pfizer/BioNTech
:cr: Costa Rica ^01.02.2021^,1.13,Pfizer/BioNTech
:br: Brasilien ^02.02.2021^,1.08,"Oxford/AstraZeneca, Sinovac"
:ar: Argentinien ^01.02.2021^,0.83,Sputnik V
:kw: Kuwait ^26.01.2021^,0.82,Pfizer/BioNTech
:om: Oman ^27.01.2021^,0.73,Pfizer/BioNTech
:ru: Russland ^13.01.2021^,0.69,Sputnik V
:bg: Bulgarien ^02.02.2021^,0.66,"Moderna, Pfizer/BioNTech"
:lk: Sri Lanka ^02.02.2021^,0.55,Oxford/AstraZeneca
:ma: Marokko ^01.02.2021^,0.54,"Oxford/AstraZeneca, Sinopharm"
:mx: Mexiko ^02.02.2021^,0.53,Pfizer/BioNTech
:cl: Chile ^02.02.2021^,0.4,Pfizer/BioNTech
:np: Nepal ^01.02.2021^,0.39,Oxford/AstraZeneca
:in: Indien ^02.02.2021^,0.3,"Covaxin, Oxford/AstraZeneca"
:id: Indonesien ^02.02.2021^,0.24,Sinovac
:pa: Panama ^24.01.2021^,0.15,Pfizer/BioNTech
:ec: Ecuador ^28.01.2021^,0.02,Pfizer/BioNTech
:mm: Myanmar ^27.01.2021^,0.01,Oxford/AstraZeneca
:mv: Malediven ^01.02.2021^,0.01,Oxford/AstraZeneca
:eg: Ägypten ^30.01.2021^,0.0,Sinopharm
:dz: Algerien ^30.01.2021^,0.0,Sputnik V
