,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Buholz (Real),,,,2022-07-15,
1,Rontal,,,,2022-07-01,
2,Altdorf,,,,2022-03-02,
3,Wetzikon (Flos),2022-07-24,43.6,-33.8,2022-03-21,33.8
4,Hoefe,,,,2022-07-08,
5,Horgen,2022-07-24,76.2,-17.1,2022-07-09,17.1
6,Untermarch,,,,2022-02-25,
7,Schwyz,,,,2022-07-15,
8,Alpnach (Sarneraatal),,,,2022-07-15,
9,Engelberg,,,,2022-07-06,
10,Stans (Rotzwinkel),,,,2022-07-15,
11,Meilen (Rorguet),2022-07-24,64.0,-6.8,2022-03-21,6.8
12,Glarnerland,2022-07-27,7.3,-10.0,2022-04-07,10.0
13,Cham (Schoenau),,,,2022-07-15,
14,Illnau-Effretikon,2022-07-24,97.2,2.2,2022-03-17,2.2
15,Dübendorf (Ika Neugut),2022-07-24,90.7,4.8,2022-07-21,4.8
16,Uster (Jungholz),2022-07-24,64.5,-20.1,2022-07-11,20.1
17,Affoltern am Albis,2022-07-24,25.4,-24.7,2022-03-10,24.7
18,Vuippens (Ais),2022-07-27,7.8,-9.7,2022-03-05,9.7
19,Fribourg (Aele),2022-07-27,5.0,-3.6,2022-02-10,3.6
20,Winterthur,2022-07-24,46.1,-48.3,2022-07-15,48.3
21,Dietikon (Limeco),2022-07-24,55.3,-25.2,2022-07-11,25.2
22,Winznau (Zv Olten),2022-07-27,8.7,-1.7,2022-03-07,1.7
23,Zuchwil (Soloth.-Emme),2022-07-24,10.1,-1.2,2022-03-07,1.2
24,Grenchen (Buerenamt),2022-07-27,14.6,-4.5,2022-03-07,4.5
25,Werdhölzli,2022-07-21,17.0,-28.5,2022-03-16,28.5
26,Basel,2022-07-26,6.8,-6.3,2022-03-24,6.3
27,Neuhausen A/Rhf. (Roeti),2022-07-20,32.5,-0.9,2022-03-13,0.9
28,Ramsen (Bibertal-Hegau),2022-07-20,13.7,-33.3,2022-03-13,33.3
29,Hallau (Klettgau),2022-07-20,12.1,-27.3,2022-03-13,27.3
30,Andelfingen,2022-07-24,38.2,-19.3,2022-03-10,19.3
31,Herisau (Bachwis),2022-07-29,6.5,-4.6,2022-03-17,4.6
32,Lyss,2022-07-27,18.9,7.1,2022-03-10,7.1
33,Appenzell (Boedeli),2022-07-20,9.2,-11.9,2022-03-31,11.9
34,St.Gallen (Au),2022-07-28,5.2,1.1,2022-04-01,1.1
35,St.Gallen (Hofen),2022-07-29,5.9,-1.9,2022-03-07,1.9
36,Aarwangen (Zala),2022-07-25,8.3,-3.1,2022-02-10,3.1
37,Steinach (Morgental),2022-07-29,4.4,0.7,2022-03-17,0.7
38,Au (Rosenbergsau),2022-07-27,14.1,-36.1,2022-03-07,36.1
39,Altenrhein,2022-07-21,10.8,-17.8,2022-03-15,17.8
40,Buchs,2022-07-27,13.7,6.6,2022-03-07,6.6
41,Bad Ragaz,2022-07-27,4.2,-5.7,2022-03-05,5.7
42,Flums (Seez),2022-07-27,9.7,6.6,2022-03-05,6.6
43,Rapperswil-Jona,2022-07-28,7.6,0.8,2022-03-06,0.8
44,Flawil (Oberglatt),2022-07-29,22.5,11.0,2022-03-07,11.0
45,Wil,2022-07-27,6.4,0.7,2022-03-07,0.7
46,Region Bern,2022-07-29,4.9,-1.8,2022-02-10,1.8
47,Worblental,2022-07-28,14.6,9.2,2022-03-06,9.2
48,Oberengadin (S-Chanf),2022-07-27,19.9,-31.4,2022-06-30,31.4
49,Davos (Gadenstatt),2022-07-27,11.3,-17.6,2022-02-26,17.6
50,Chur,2022-07-20,8.6,-8.3,2022-03-12,8.3
51,Arosa,2022-07-27,6.3,-11.8,2022-04-09,11.8
52,Aarau,,,,2022-03-08,
53,Burgdorf,2022-07-27,0.0,0.0,2022-03-31,0.0
54,Baden,,,,2022-03-08,
55,Bremgarten,,,,2022-03-14,
56,Wohlen,,,,2022-03-10,
57,Moossee-Urtenenbach,2022-07-29,10.5,-3.9,2022-03-07,3.9
58,Brugg,,,,2022-03-07,
59,Reinach,,,,2022-03-10,
60,Kaisten,,,,2022-03-07,
61,Lenzburg,,,,2022-03-08,
62,Aarburg,,,,2022-03-07,
63,Zofingen,,,,2022-03-10,
64,"Hefenhofen (Aachtal, Moos)",2022-07-27,1.1,-2.4,2022-03-05,2.4
65,Frauenfeld,2022-07-20,12.6,-84.1,2022-03-05,84.1
66,Weinfelden (Mittelthurgau),2022-07-29,19.6,1.6,2022-03-05,1.6
67,Bellinzona (Giubiasco),2022-07-29,23.7,2.4,2022-03-22,2.4
68,Locarno (Foce Ticino),2022-07-29,47.7,8.4,2022-03-25,8.4
69,Locarno (Foce Maggia),2022-07-29,31.9,-9.0,2022-03-22,9.0
70,Lugano,2022-07-21,20.9,-3.6,2022-03-13,3.6
71,Mendrisio (Rancate),2022-07-29,21.2,-18.9,2022-02-10,18.9
72,Chiasso (Vacallo),2022-07-29,27.5,-15.7,2022-02-10,15.7
73,Bülach,2022-07-24,39.3,-6.5,2022-03-10,6.5
74,Lausanne (Vidy),2022-07-22,43.7,-6.4,2022-03-07,6.4
75,Morges,2022-07-25,17.1,-9.2,2022-03-06,9.2
76,Commugny,2022-07-29,34.3,10.0,2022-03-07,10.0
77,Gland (Apec),2022-07-26,44.3,17.2,2022-03-30,17.2
78,Nyon,,,,2022-03-28,
79,Grindelwald,2022-07-21,43.3,-38.2,2022-07-11,38.2
80,Lauterbrunnen,2022-07-27,45.3,11.6,2022-02-10,11.6
81,Montreux/Pierrier,2022-07-27,22.3,-25.2,2022-07-11,25.2
82,Vevey (Aviron),2022-07-27,17.6,-18.5,2022-03-05,18.5
83,Interlaken,2022-07-27,36.4,-8.3,2022-03-07,8.3
84,Yverdon,2022-07-29,31.9,,2022-07-11,
85,Colombier (La Saunerie),2022-07-21,16.1,2.9,2022-03-13,2.9
86,La-Chaux-de-Fonds,2022-07-21,3.5,2.4,2022-03-06,2.4
87,Neuchatel,2022-07-21,20.5,-3.6,2022-03-12,3.6
88,Satigny/Bois-de-Bay,,,,2022-03-21,
89,Thonex/Villette,,,,2022-03-25,
90,Aire,2022-07-20,29.2,-17.3,2022-07-04,17.3
91,Laupen,2022-07-21,15.0,-3.9,2022-03-12,3.9
92,Delemont (Sede),2022-07-28,2.8,-1.7,2022-02-10,1.7
93,Porrentruy (Sepe),2022-07-25,14.5,-14.3,2022-03-04,14.3
94,Biel,2022-07-28,6.6,-1.5,2022-03-06,1.5
95,Saanen,2022-07-29,11.6,-4.0,2022-03-08,4.0
96,Niederglatt (Fischb.-Gl.),2022-07-24,58.0,-24.8,2022-07-11,24.8
97,Thunersee,2022-07-27,8.4,-6.7,2022-03-08,6.7
98,Mittl. Emmental,2022-07-28,9.4,3.5,2022-03-05,3.5
